Code_commune_INSEE,Code_postal,Coordonnees_gps
1004,1500,"45.961048852, 5.372275427"
1025,1380,"46.327468413, 4.966993244"
1029,1270,"46.428649695, 5.260337095"
1033,1200,"46.124111549, 5.796482369"
1033,1200,"46.124111549, 5.796482369"
1033,1200,"46.124111549, 5.796482369"
1043,1700,"45.839476518, 4.99743421"
1045,1330,"45.953187919, 5.037212561"
1053,1000,"46.205013838, 5.245593605"
1056,1640,"46.036053911, 5.463119438"
1071,1170,"46.316089437, 6.078030245"
1072,1250,"46.183403875, 5.319678283"
1073,1350,"45.833507381, 5.719105551"
1079,1260,"45.93196511, 5.693133119"
1079,1260,"45.93196511, 5.693133119"
1088,1800,"45.874182776, 5.221971236"
1093,1400,"46.122927177, 4.957950327"
1096,1660,"46.199364763, 5.056028558"
1100,1510,"45.822895805, 5.604830013"
1104,1200,"46.222560403, 5.872426209"
1105,1390,"45.922942274, 4.88661781"
1106,1250,"46.200571572, 5.450819845"
1107,1230,"45.902697686, 5.432785798"
1108,1270,"46.386677691, 5.330424959"
1114,1200,"46.154319846, 5.832712881"
1115,1310,"46.270495708, 5.057684099"
1118,1420,"45.966152692, 5.789641772"
1121,1110,"46.033238796, 5.49675279"
1127,1370,"46.326589431, 5.355779855"
1135,1170,"46.291682935, 5.995342333"
1136,1290,"46.221287172, 4.875091409"
1165,1090,"46.073642487, 4.812560271"
1167,1140,"46.21348428, 4.828906909"
1170,1460,"46.189954141, 5.551650441"
1173,1170,"46.347299128, 6.046241081"
1174,1130,"46.223710673, 5.780900995"
1180,1220,"46.331834436, 6.113479251"
1183,1090,"46.106683459, 4.782509441"
1185,1110,"45.939605942, 5.583780117"
1199,1640,"46.049910068, 5.410944213"
1207,1330,"45.985680859, 4.98170543"
1224,1360,"45.792262182, 5.217785116"
1228,1430,"46.120131816, 5.528443347"
1229,1340,"46.328995834, 5.143009412"
1234,1300,"45.801447694, 5.715805868"
1238,1600,"45.909282243, 4.826875301"
1240,1580,"46.256460485, 5.539445096"
1240,1580,"46.256460485, 5.539445096"
1245,1250,"46.14240142, 5.378302588"
1245,1250,"46.14240142, 5.378302588"
1248,1390,"45.895925975, 4.924322242"
1249,1700,"45.844720633, 4.940785036"
1249,1700,"45.844720633, 4.940785036"
1257,1200,"46.17325992, 5.790043812"
1258,1090,"46.096201232, 4.80371646"
1261,1390,"45.962496016, 4.945779866"
1262,1120,"45.88696826, 5.006439066"
1264,1310,"46.186589896, 5.117246219"
1272,1400,"46.15673792, 5.009153993"
1276,1120,"45.822376041, 5.059412772"
1277,1230,"45.999773507, 5.458408258"
1284,1190,"46.387267599, 4.917717963"
1286,1300,"45.731042721, 5.74554129"
1291,1540,"46.246600639, 4.974132197"
1305,1190,"46.442474679, 4.928762619"
1308,1550,"46.144939074, 5.950219547"
1313,1280,"46.258394588, 6.072289047"
1319,1990,"46.083987278, 4.941538392"
1322,1600,"45.936961491, 4.828653591"
1328,1400,"46.123828349, 5.02137821"
1330,1260,"46.004168068, 5.653050149"
1335,1240,"46.113278406, 5.079827089"
1339,1600,"45.949160246, 4.741402311"
1349,1800,"45.933000622, 5.151304829"
1351,1140,"46.146898864, 4.867333819"
1360,1630,"46.217861937, 5.941584733"
1364,1560,"46.397230407, 5.063110246"
1366,1150,"45.881929237, 5.284256844"
1371,1390,"45.948490368, 4.989610452"
1372,1510,"45.848154791, 5.679072745"
1393,1400,"46.065529744, 4.982157044"
1401,1630,"46.263126375, 5.988920778"
1402,1190,"46.498451286, 4.977943541"
1403,1470,"45.813182663, 5.441558147"
1405,1960,"46.139240323, 5.179306262"
1408,1250,"46.233965118, 5.422597476"
1411,1150,"45.878018555, 5.430669842"
1416,1230,"45.922821474, 5.514615073"
1419,1710,"46.243643952, 5.965281658"
1423,1600,"45.96023469, 4.829116506"
1426,1370,"46.285726208, 5.363443289"
1435,1210,"46.300064513, 6.100716829"
1437,1560,"46.474718732, 5.02614741"
1446,1480,"46.031517691, 4.851344312"
1447,1250,"46.192385749, 5.394699049"
1450,1800,"45.932316137, 5.229523775"
2005,2190,"49.393733209, 3.967807801"
2008,2370,"49.438697879, 3.51124666"
2015,2600,"49.218878777, 3.208246989"
2018,2320,"49.516096173, 3.453032228"
2019,2480,"49.719521853, 3.176029474"
2021,2360,"49.74412009, 4.119783314"
2022,2130,"49.25492425, 3.478630764"
2023,2210,"49.174033511, 3.387020839"
2033,2820,"49.496989712, 3.792304044"
2042,2400,"49.004386609, 3.359999375"
2055,2500,"49.820841965, 4.151946912"
2062,2400,"49.083202748, 3.29982845"
2067,2450,"50.029607785, 3.711923338"
2070,2120,"49.878869204, 3.486862327"
2088,2860,"49.492525273, 3.714128715"
2093,2300,"49.507875635, 3.15089154"
2103,2450,"50.011550543, 3.714459526"
2109,2140,"49.878288472, 3.96176401"
2116,2140,"49.768049649, 3.962134828"
2118,2880,"49.422387936, 3.376975383"
2127,2130,"49.199671957, 3.445415703"
2135,2620,"49.958217815, 3.83827898"
2136,2140,"49.768802224, 3.911694741"
2146,2330,"49.01485859, 3.569453258"
2148,2370,"49.415647667, 3.475187219"
2153,2320,"49.558013373, 3.48118285"
2154,2200,"49.299932209, 3.397501152"
2158,2860,"49.472574306, 3.670803217"
2162,2570,"48.949543456, 3.376327211"
2164,2850,"49.112431003, 3.541566223"
2176,2370,"49.407528707, 3.562380284"
2177,2860,"49.514292728, 3.686902535"
2181,2360,"49.722465319, 4.101513436"
2182,2250,"49.818031969, 3.736290274"
2186,2570,"48.984427277, 3.382357064"
2189,2350,"49.626903051, 3.855468948"
2192,2210,"49.216959296, 3.247470895"
2197,2260,"49.974089631, 3.986389624"
2208,2160,"49.376787975, 3.789619058"
2209,2330,"49.00176432, 3.560653495"
2212,2700,"49.636851541, 3.276684294"
2217,2380,"49.515873452, 3.315968841"
2226,2200,"49.343552574, 3.301958811"
2237,2270,"49.698802025, 3.62272969"
2240,2110,"49.930902634, 3.393853083"
2270,2590,"49.794212842, 3.130285722"
2283,2250,"49.734265823, 3.705372654"
2286,2170,"49.982096918, 3.753298573"
2290,2400,"49.034382198, 3.340031766"
2299,2190,"49.455922988, 4.036018471"
2304,2800,"49.667255819, 3.36930591"
2307,2460,"49.176033589, 3.142644717"
2308,2450,"50.048136391, 3.697870692"
