adresse1,codePostal,codeInsee,commune,longitude,latitude,carriere,eolienne,industrie,prioriteNationale,statutSeveso,ied,etatActivite,regimeVigueur,siret,type,mise_en_demeure,name,codeNaf,adresse2,adresse3
FERME DE FLASSY,89520,89331,SAINPUITS,3.257254,47.491203,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38132669300011,PORCS,False,GAEC DES BOURRYS,,,
Pech Louis,81220,81266,ST PAUL CAP DE JOUX,1.988077,43.63922,False,False,False,False,Non Seveso,False,En fin d'exploitation,Autorisation,32841163200024,PORCS,False,GAEC PORC D'ALGRES,,,
LE HAMEL LELEGARD,50410,50393,PERCY-EN-NORMANDIE,-1.225119,48.913919,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,87966212000010,BOVINS,False,GAEC FERME H ET L,01,,
,50410,50393,PERCY EN NORMANDIE,-1.187543,48.950369,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,42333815100016,BOVINS,False,BINOUDIERE (GAEC DE LA),,La Binoudière,
,50410,50393,PERCY EN NORMANDIE,-1.253302,48.918864,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,40832313700013,BOVINS,False,BOCAGE (GAEC DU),,LE HAMEL AUX LOUVEAUX,
LA POMMERAIE - LA MARCHE - LE BIGNON,22250,22348,TREDIAS,-2.214142,48.363961,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39137140800017,PORCS,False,EARL DE LA POMMERAIE,01,,
Campagnot et Au Pout,32300,32278,MONTAUT,0.412539,43.398588,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,49522168100010,BOVINS,False,SCL DE CATALOUNE,,,
LA VILLE AU ROUX,22190,22187,PLERIN,-2.784323,48.536948,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,53907031800016,PORCS,False,EARL LA VILLE AU ROUX,,,
GOUE,53240,53222,ST GERMAIN D ANXURE,-0.760673,48.211774,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,41862794900013,PORCS,False,EARL L'HOUTELLIER,01,,
RD 933,64390,64435,OSSERAIN RIVAREYTE,-0.951484,43.372238,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38963216700018,PORCS,False,EARL BAILE,,,
,50410,50637,VILLEBAUDON,-1.153564,48.958198,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34375954400038,BOVINS,False,2 L'oiselière (GAEC),,2 L'Oiselière,
LIEU DIT LES OUDOTS,71760,71280,MARLY SOUS ISSY,3.940625,46.73252,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,80090407000011,BOVINS,False,GAEC POTIGNON,01,,
LA HOUDAIRIE,53240,53225,ST GERMAIN LE GUILLAUME,-0.837532,48.199103,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,48909441700024,BOVINS,False,GAEC HOUDAIRIE 2 (DE LA),01,,
Kermerrien,29360,29031,CLOHARS CARNOET,-3.565109,47.788161,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,48025614800010,PORCS,False,EARL SEAC'H,01,,
"20, LA TOUCHE AUX POISSONS",35440,35094,DINGE,-1.725515,48.351986,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,90928672600015,BOVINS,False,GAEC DU VIEUX FOUR,,,
Lan Ar C'Hoat,29350,29150,MOELAN SUR MER,-3.612257,47.833147,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,85112656500015,PORCS,False,LAN AR C'HOAT,70,,
,50410,50295,MAUPERTUIS,-1.20573,48.958836,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,38281379800016,BOVINS,False,LA FERME DES L (GAEC),,1 La Girardière,
LES PESCHELLERIES,53240,53031,LA BIGOTTIERE,-0.777348,48.197333,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,50366379100013,BOVINS,False,GAEC PESCHELLERIES (DES),01,,
LA FURONNIERE,53240,53031,LA BIGOTTIERE,-0.806834,48.232122,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,33879794700011,PORCS,False,POUTEAU VINCENT (FILS),01,,
LA FENERIE,53240,53031,LA BIGOTTIERE,-0.812153,48.221582,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34840265200013,BOVINS,False,GAEC FENERIE BOURIGNE,01,,
LA LOUVRIE,53240,53031,LA BIGOTTIERE,-0.797641,48.221112,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,49447476000019,PORCS,False,EARL LOUVRIE (LA),01,,
LA PLACE FOUCAUD,53240,53031,LA BIGOTTIERE,-0.789099,48.195857,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,37922419900016,BOVINS,False,EARL GRAND JOIGNE (DU),01,,
1 RTE DE LA CREUSE VOIE,89116,89388,SEPEAUX ST ROMAIN,3.247291,47.944928,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,78968203600015,PORCS,False,SCEA DU DEMI POTEN,01,,
Loran,32300,32393,ST MAUR,0.366119,43.4896,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39978808200010,BOVINS,False,GAEC DE LORAN,01,,
,50410,50338,MONTBRAY,-1.096602,48.897738,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,,BOVINS,False,ACTEA (SCEA),,La Maheudière,
,50410,50338,MONTBRAY,-1.114952,48.871065,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,49119644000011,BOVINS,False,VILLAGES (SCL DES),,La Métairie,
,50410,50338,MONTBRAY,-1.097401,48.88794,False,False,False,False,Non Seveso,False,En exploitation sans titre,Enregistrement,40479701100024,BOVINS,False,LIGNEUL PIERRE,,La Daudrière,
LA CHENEVETTERIE,53240,53179,PLACE,-0.750831,48.25247,False,False,False,True,Non Seveso,False,En exploitation avec titre,Autorisation,84154867000014,BOVINS,False,GAEC CHENES (DES),01,,
LES NOISETTES,53240,53179,PLACE,-0.764912,48.240753,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,48919009000014,PORCS,False,GAEC NOISETTES (DES),01,,
LA PIOCHERE,53240,53015,LA BACONNIERE,-0.87402,48.168614,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34958002700044,BOVINS,False,GAEC BEAUX JOURS (DES),01,,
LA BOULONNIERE,53240,53005,ANDOUILLE,-0.81723,48.168637,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,32754452400017,BOVINS,False,GAEC GIRAULT,01,,
