Numéro d'inspection,Nom établissement,Adresse 1,Adresse 2,Adresse 3,Code postal,Commune,Régime en vigueur,Statut SEVESO,Date de dernière inspection
55002465,2 L'oiselière (GAEC),,2 L'Oiselière,,50410,VILLEBAUDON,Enregistrement,Non Seveso,
55000619,33 RUE DU BOCAGE (GAEC),,33 La Gasnerie,,50850,GER,Enregistrement,Non Seveso,
56201654,4 CANTONS DUBRON (GAEC DES ),14 RUE DE LA PLACE,,,62810,SOMBRIN,Autorisation,Non Seveso,
55000160,4 SAISONS (GAEC DES),ST MICHEL DES LOUPS,La Férrerie,,50610,JULLOUVILLE,Enregistrement,Non Seveso,
55001069,4 TEMPS (GAEC DES),,La Havardière,,50520,JUVIGNY LES VALLEES,Autorisation,Non Seveso,
6802437,ABATTOIR DE CAPDENAC SARL,ZI des taillades,rue Claude Bernard,,12700,CAPDENAC GARE,Autorisation,Non Seveso,2022-05-11
6102934,ABATTOIR DE GRENOBLE - A.B.A.G.,ZONE INDUSTRIELLE DU FONTANIL,Rue de la Louisiane,,38120,FONTANIL CORNILLON,Autorisation,Non Seveso,2022-06-21
51900456,Abattoir SABCOR,ZAC de la NAU,,,19240,ST VIANCE,Autorisation,Non Seveso,
5100379,ABATTOIR SABHIR SARL,138 RUE DE GUISE,,,2500,HIRSON,Autorisation,Non Seveso,
51100119,ABATTOIRS DE NARBONNE (S.E.A.N.),62 avenue du Général Leclerc,,,11100,NARBONNE PLAGE,Autorisation,Non Seveso,
7000449,ABATTOIRS DE VALENCIENNES,50 Rue Ernest Macarez,,,59300,VALENCIENNES,Autorisation,Non Seveso,
54800189,ABATTOIRS DU GEVAUDAN,IMPASSE DU GEANT,,,48100,ANTRENAS,Autorisation,Non Seveso,2019-11-05
56401137,ABATTOIRS DU PAYS DE SOULE,"39, avenue de Belzunce",,,64130,MAULEON LICHARRE,Autorisation,Non Seveso,
56201610,ABBAYE D'EAUCOURT DUQUESNE (SCEA DE L' ),ABBAYE D'EAUCOURT,,,62450,LE SARS,Autorisation,Non Seveso,
56200860,ABBAYE (EARL DE L'),7 GRAND RUE,HERBELLES,,62129,BELLINGHEM,Enregistrement,Non Seveso,2022-06-07
51400051,ABBAYE (SCEA DE L'),Mr DE VALPINCON,L'ABBAYE,,14260,LES MONTS D'AUNAY,Autorisation,Non Seveso,
52904037,ABGRALL BB (GAEC),COSQUER VRAS,,,29450,SIZUN,Enregistrement,Non Seveso,2016-08-18
52901329,ABGRALL Mathieu,PEN COAT MEUR,,,29400,LANDIVISIAU,Enregistrement,Non Seveso,2011-12-08
57202186,ABRAHAM MICHEL MAURICE,LA HAUTE GENDRONNIERE,,,72500,THOIRE SUR DINAN,Enregistrement,Non Seveso,
57201401,ABRIVARD CATHERINE,THAULIERE,,,72430,NOYEN SUR SARTHE,Enregistrement,Non Seveso,
55001150,ACTEA (SCEA),,La Maheudière,,50410,MONTBRAY,Enregistrement,Non Seveso,
56201788,ADAM BENOIT,,Route de  Bourbourg,,62162,VIEILLE EGLISE,Autorisation,Non Seveso,
52202172,ADAM GILLES,LA BUTAINE TRESSAINT,,,22100,LANVALLAY,Enregistrement,Non Seveso,
52200670,ADAM PIERRICK,COUAMIHAC,,,22630,LES CHAMPS GERAUX,Enregistrement,Non Seveso,
55901932,ADOU FRANCOIS,3299  R   VERTE,,,59670,WINNEZEELE,Autorisation,Non Seveso,
