Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2017;1586.106;Noyen-sur-Seine;200040251;Île-de-France;Seine-et-Marne;48.4518691045, 3.34226623535;1586106;1.586106;22.345;11;77341;Agricole autonome;77;2017-11-15;IR0102;CC Bassée-Montois;GRTgaz;Transport;La Bassée Biogaz
2018;32156.97;Essarts en Bocage;200071918;Pays de la Loire;Vendée;46.7806739038, -1.22925967851;32156970;32.15697;62.566;52;85084;Industriel territorial;85;2017-12-08;IR0101;CC du Pays de Saint-Fulgent - Les Essarts;GRTgaz;Transport;Bioloie
2018;23228.425;Étréville;200066405;Normandie;Eure;49.3795673555, 0.65533275771;23228425;23.228425;31.283;28;27227;Agricole territorial;27;2018-01-31;IR0103;CC Roumois Seine;GRTgaz;Transport;VITALIGAZ
2019;24922.513;Étréville;200066405;Normandie;Eure;49.3795673555, 0.65533275771;24922513;24.922513;31.283;28;27227;Agricole territorial;27;2018-01-31;IR0103;CC Roumois Seine;GRTgaz;Transport;VITALIGAZ
2019;11364.332;Nangis;247700701;Île-de-France;Seine-et-Marne;48.554637282, 3.00883892893;11364332;11.364332;27.2609;11;77327;Agricole autonome;77;2019-02-05;IR0107;CC Brie Nangissienne;GRTgaz;Transport;SAS Nangis Biogaz
2020;17310.867985999997;Fère-Champenoise;245100979;Grand Est;Marne;48.7706781866, 4.01743444039;17310867;17.310867985999998;26.814;44;51248;Industriel territorial;51;2018-10-04;IR0105;CC du Sud Marnais;GRTgaz;Transport;LA MONTE BLANCHE
2020;1669.779251;Pierre-Morains;200067684;Grand Est;Marne;48.8400739001, 4.02053698314;1669779;1.669779251;44.69;44;51430;Agricole territorial;51;2020-12-01;IR0118;CA Épernay, Coteaux et Plaine de Champagne;GRTgaz;Transport;Metha Horizon
2020;2217.2075099999993;Saron-sur-Aube;200066835;Grand Est;Marne;48.5824010998, 3.72970498559;2217207;2.2172075099999993;37.5396;44;51524;Agricole autonome;51;2020-12-01;IR0124;CC de Sézanne-Sud Ouest Marnais;GRTgaz;Transport;Artaim saron Energie
2021;42338.06829000002;Essarts en Bocage;200071918;Pays de la Loire;Vendée;46.7806739038, -1.22925967851;42338068;42.33806829000002;62.566;52;85084;Industriel territorial;85;2017-12-08;IR0101;CC du Pays de Saint-Fulgent - Les Essarts;GRTgaz;Transport;Bioloie
2021;22812.816;Noyen-sur-Seine;200040251;Île-de-France;Seine-et-Marne;48.4518691045, 3.34226623535;22812816;22.812816;22.345;11;77341;Agricole autonome;77;2017-11-15;IR0102;CC Bassée-Montois;GRTgaz;Transport;La Bassée Biogaz
