"Code Commune", "Libellé commune", "Degré de Densité", "Population municipale 2018"
01001, L'Abergement-Clémenciat, 3, 779
01002, L'Abergement-de-Varey, 4, 256
01004, Ambérieu-en-Bugey, 2, 14134
01005, Ambérieux-en-Dombes, 3, 1751
01006, Ambléon, 4, 112
01007, Ambronay, 3, 2800
01008, Ambutrix, 2, 762
01009, Andert-et-Condon, 3, 326
01010, Anglefort, 3, 1105
01011, Apremont, 3, 368
01012, Aranc, 4, 329
01013, Arandas, 4, 143
01014, Arbent, 2, 3349
01015, Arboys en Bugey, 4, 650
01016, Arbigny, 3, 460
01017, Argis, 3, 457
01019, Armix, 4, 27
01021, Ars-sur-Formans, 3, 1457
01022, Artemare, 3, 1249
01023, Asnières-sur-Saône, 4, 76
01024, Attignat, 3, 3251
01025, Bâgé-Dommartin, 3, 4065
01026, Bâgé-le-Châtel, 3, 973
01027, Balan, 3, 2563
01028, Baneins, 3, 617
01029, Beaupont, 3, 685
01030, Beauregard, 2, 829
01031, Bellignat, 2, 3652
01032, Béligneux, 3, 3376
01033, Valserhône, 2, 16378
01034, Belley, 2, 9182
01035, Belleydoux, 4, 310
01036, Valromey-sur-Séran, 3, 1326
01037, Bénonces, 4, 308
01038, Bény, 3, 754
01039, Béon, 3, 443
01040, Béréziat, 3, 486
01041, Bettant, 2, 748
01042, Bey, 3, 291
01043, Beynost, 2, 4754
01044, Billiat, 3, 632
01045, Birieux, 4, 283
01046, Biziat, 3, 895
01047, Blyes, 3, 1182
01049, La Boisse, 2, 3283
01050, Boissey, 3, 365
01051, Bolozon, 4, 91
01052, Bouligneux, 4, 328
01053, Bourg-en-Bresse, 2, 41111
01054, Bourg-Saint-Christophe, 3, 1457
01056, Boyeux-Saint-Jérôme, 4, 349
01057, Boz, 3, 519
01058, Brégnier-Cordon, 3, 828
01060, Brénod, 3, 493
01061, Brens, 3, 1144
01062, Bressolles, 2, 934
01063, Brion, 2, 533
01064, Briord, 3, 1070
01065, Buellas, 3, 1812
01066, La Burbanche, 4, 89
01067, Ceignes, 4, 255
01068, Cerdon, 3, 775
01069, Certines, 3, 1503
01071, Cessy, 2, 4808
01072, Ceyzériat, 3, 3194
01073, Ceyzérieu, 3, 1000
01074, Chalamont, 3, 2589
01075, Chaleins, 3, 1382
01076, Chaley, 4, 125
01077, Challes-la-Montagne, 4, 196
01078, Challex, 2, 1557
01079, Champagne-en-Valromey, 3, 811
01080, Champdor-Corcelles, 3, 643
01081, Champfromier, 3, 735
01082, Chanay, 3, 628
01083, Chaneins, 3, 927
01084, Chanoz-Châtenay, 3, 895
01085, La Chapelle-du-Châtelard, 3, 400
01087, Charix, 4, 282
01088, Charnoz-sur-Ain, 3, 903
01089, Château-Gaillard, 3, 2253
01090, Châtenay, 4, 356
01092, Châtillon-la-Palud, 3, 1604
01093, Châtillon-sur-Chalaronne, 3, 4931
01094, Chavannes-sur-Reyssouze, 3, 761
01095, Nivigne et Suran, 4, 853
01096, Chaveyriat, 3, 1034
01098, Chazey-Bons, 3, 1159
01099, Chazey-sur-Ain, 3, 1566
01100, Cheignieu-la-Balme, 4, 131
01101, Chevillard, 4, 152
01102, Chevroux, 3, 961
01103, Chevry, 2, 2149
01104, Chézery-Forens, 3, 461
01105, Civrieux, 3, 1829
01106, Cize, 4, 179
01107, Cleyzieu, 4, 133
01108, Coligny, 3, 1176
01109, Collonges, 3, 2226
01110, Colomieu, 4, 156
01111, Conand, 4, 132
01112, Condamine, 3, 450
01113, Condeissiat, 3, 817
01114, Confort, 3, 667
01115, Confrançon, 3, 1333
01116, Contrevoz, 3, 498
01117, Conzieu, 4, 151
01118, Corbonod, 3, 1278
01121, Corlier, 4, 116
01123, Cormoranche-sur-Saône, 3, 1162
01124, Cormoz, 3, 689
01125, Corveissiat, 3, 612
01127, Courmangoux, 3, 508
01128, Courtes, 3, 305
01129, Crans, 4, 291
01130, Bresse Vallons, 3, 2363
01133, Cressin-Rochefort, 3, 394
01134, Crottet, 3, 1758
01135, Crozet, 2, 2171
01136, Cruzilles-lès-Mépillat, 3, 893
01138, Culoz, 3, 3004
01139, Curciat-Dongalon, 3, 444
01140, Curtafond, 3, 767
01141, Cuzieu, 3, 453
01142, Dagneux, 2, 4777
01143, Divonne-les-Bains, 2, 9951
01145, Dompierre-sur-Veyle, 3, 1179
01146, Dompierre-sur-Chalaronne, 3, 436
01147, Domsure, 4, 492
01148, Dortan, 3, 1879
01149, Douvres, 3, 1076
01150, Drom, 4, 214
01151, Druillat, 3, 1146
01152, Échallon, 3, 748
01153, Échenevex, 2, 2115
01155, Évosges, 4, 143
01156, Faramans, 3, 815
01157, Fareins, 3, 2250
01158, Farges, 3, 1048
01159, Feillens, 3, 3365
01160, Ferney-Voltaire, 2, 10026
01162, Flaxieu, 3, 65
01163, Foissiat, 3, 2038
01165, Francheleins, 3, 1594
01166, Frans, 2, 2423
01167, Garnerans, 3, 634
01169, Genouilleux, 2, 641
01170, Béard-Géovreissiat, 2, 1053
01171, Géovreisset, 2, 844
01173, Gex, 2, 13121
01174, Giron, 4, 178
01175, Gorrevod, 3, 784
01177, Grand-Corent, 4, 183
01179, Grièges, 3, 1881
01180, Grilly, 3, 839
01181, Groissiat, 3, 1241
01183, Guéreins, 2, 1479
01184, Hautecourt-Romanèche, 3, 763
01185, Plateau d'Hauteville, 3, 4844
01187, Haut Valromey, 4, 618
01188, Illiat, 3, 663
01189, Injoux-Génissiat, 3, 1115
01190, Innimond, 4, 87
01191, Izenave, 4, 154
01192, Izernore, 3, 2277
01193, Izieu, 3, 222
01194, Jassans-Riottier, 2, 6346
01195, Jasseron, 3, 1783
01196, Jayat, 3, 1226
01197, Journans, 3, 351
01198, Joyeux, 4, 268
01199, Jujurieux, 3, 2137
01200, Labalme, 4, 214
01202, Lagnieu, 2, 7161
01203, Laiz, 3, 1313
01204, Le Poizat-Lalleyriat, 3, 735
01206, Lantenay, 3, 277
01207, Lapeyrouse, 4, 317
01208, Lavours, 4, 131
01209, Léaz, 3, 778
01210, Lélex, 4, 228
01211, Lent, 3, 1395
01212, Lescheroux, 3, 718
01213, Leyment, 3, 1341
01214, Leyssard, 4, 158
01215, Surjoux-Lhopital, 4, 140
01216, Lhuis, 3, 894
01219, Lompnas, 4, 164
01224, Loyettes, 2, 3225
01225, Lurcy, 3, 372
01227, Magnieu, 3, 643
